iter	Logloss
0	0.6889724846
1	0.6853273088
2	0.6816655139
3	0.6786826158
4	0.6748589415
5	0.6709157968
6	0.6675112944
7	0.6640240244
8	0.6606730371
9	0.6571421846
10	0.6534155661
11	0.649788851
12	0.646953602
13	0.6449336226
14	0.6418069336
15	0.6383364714
16	0.6351269499
17	0.6325212466
18	0.6297772822
19	0.6268122143
20	0.6238552126
21	0.6208454098
22	0.6177510618
23	0.6151310538
24	0.6127196487
25	0.6097926871
26	0.6069787607
27	0.6042413539
28	0.601800883
29	0.6001956747
30	0.5978342957
31	0.5956867834
32	0.5933150872
33	0.5907174842
34	0.5884167117
35	0.58614162
36	0.583606283
37	0.5811963665
38	0.578701541
39	0.5772968471
40	0.5751367197
41	0.5735758273
42	0.5716454686
43	0.5693245884
44	0.5674944755
45	0.565426281
46	0.5636963423
47	0.5619615192
48	0.5601039437
49	0.5583929204
50	0.5567361647
51	0.5549142957
52	0.5531666563
53	0.5513834523
54	0.5504062836
55	0.5491540612
56	0.5471072064
57	0.5455775653
58	0.5441370481
59	0.5425393622
60	0.5409355013
61	0.5392207258
62	0.5376124643
63	0.5361714355
64	0.5345706894
65	0.5331426893
66	0.5318558524
67	0.5307803032
68	0.5302331899
69	0.5294692997
70	0.5281689626
71	0.5267269231
72	0.5257353658
73	0.5244345646
74	0.5233039791
75	0.5220067549
76	0.5211843131
77	0.5198272596
78	0.5182193547
79	0.5171001745
80	0.5161702743
81	0.5151304427
82	0.5142050655
83	0.5128969913
84	0.5117282934
85	0.5108057939
86	0.5095891017
87	0.508599654
88	0.5078910036
89	0.5070958502
90	0.5059425373
91	0.5050294481
92	0.5039110509
93	0.5028563173
94	0.5015989561
95	0.5002796077
96	0.4992558101
97	0.4981111024
98	0.4970492562
99	0.495755672
100	0.4950320329
101	0.4942357333
102	0.4934106537
103	0.4921085336
104	0.4912734802
105	0.4901655024
106	0.4892652096
107	0.4883186622
108	0.4871452231
109	0.4865573889
110	0.485734058
111	0.484822164
112	0.4837926906
113	0.48346637
114	0.482597754
115	0.482216425
116	0.4811708031
117	0.4804203082
118	0.4797389487
119	0.4788813774
120	0.4781355912
121	0.4777768038
122	0.4770013865
123	0.4763958322
124	0.4758554083
125	0.475325705
126	0.4745290953
127	0.4738348795
128	0.4734774873
129	0.4726145201
130	0.4720216041
131	0.4712165051
132	0.4706337081
133	0.469768689
134	0.4689105163
135	0.4684283408
136	0.4677786698
137	0.4671323961
138	0.4667200399
139	0.4662727661
140	0.4655709929
141	0.4650486278
142	0.4645349387
143	0.4638503392
144	0.4631414505
145	0.4625014403
146	0.4619123586
147	0.4612219687
148	0.4607113525
149	0.4602298677
150	0.459692142
151	0.4592561967
152	0.4584836299
153	0.4578774242
154	0.4571274982
155	0.4564820167
156	0.4560716008
157	0.4555228536
158	0.4550892432
159	0.4545470072
160	0.4537928753
161	0.4533173653
162	0.4528848192
163	0.4523440584
164	0.4518963863
165	0.451325973
166	0.4507706286
167	0.4505798483
168	0.4499549059
169	0.4493682601
170	0.4488595959
171	0.4485890185
172	0.4480660691
173	0.4475666686
174	0.4470064275
175	0.4463391667
176	0.4457628511
177	0.445226115
178	0.4446871658
179	0.4443161922
180	0.4439904913
181	0.4434904761
182	0.4429675582
183	0.4425976794
184	0.4424274014
185	0.442090126
186	0.4416029747
187	0.4412306116
188	0.4409065094
189	0.4403816512
190	0.440210175
191	0.4395921955
192	0.4392112529
193	0.4386613349
194	0.4377680536
195	0.4373871984
196	0.4369671263
197	0.4362908746
198	0.4358141562
199	0.4353830596
200	0.4349093832
201	0.4344124334
202	0.4339168165
203	0.4335055586
204	0.4330162313
205	0.4325266051
206	0.4322808243
207	0.4318672484
208	0.4314964106
209	0.4311772129
210	0.4307532468
211	0.4301882423
212	0.4299779267
213	0.4295857835
214	0.4292348161
215	0.4288171349
216	0.4282778849
217	0.427941402
218	0.4279171182
219	0.4274737106
220	0.4270971549
221	0.4266750892
222	0.4261912719
223	0.4258205094
224	0.4254158038
225	0.4249428202
226	0.4247745789
227	0.4242247402
228	0.4237831371
229	0.4236908938
230	0.423446499
231	0.4229773858
232	0.4224230961
233	0.4220124443
234	0.4216520216
235	0.4212293297
236	0.4210428675
237	0.4209002852
238	0.4205312517
239	0.4200060927
240	0.4193883081
241	0.4189470228
242	0.4183137276
243	0.4180187299
244	0.4177834847
245	0.4175442743
246	0.4171808538
247	0.4168596067
248	0.4163883329
249	0.4159582743
250	0.4155882036
251	0.4153414461
252	0.4150601207
253	0.4146984544
254	0.4143459328
255	0.4141648852
256	0.4138787768
257	0.4135749619
258	0.413153378
259	0.4128914905
260	0.4126164193
261	0.4122710998
262	0.4118762886
263	0.4115470341
264	0.4111883999
265	0.4109688848
266	0.4106981823
267	0.4102063016
268	0.4100196258
269	0.4095784799
270	0.4092933354
271	0.4092312242
272	0.408877529
273	0.4085107515
274	0.4081472461
275	0.4077956811
276	0.4073381302
277	0.4071884896
278	0.4069133308
279	0.4064745493
280	0.4061339022
281	0.4057149178
282	0.4053118822
283	0.4050186547
284	0.4047171345
285	0.4043507531
286	0.4038203215
287	0.4037612381
288	0.4032995167
289	0.4029654291
290	0.4027144293
291	0.402425602
292	0.4018937447
293	0.4016914881
294	0.4014891126
295	0.4011949435
296	0.4007321039
297	0.4003878471
298	0.4001270704
299	0.3997504409
300	0.3994932231
301	0.3990297903
302	0.3986100725
303	0.3983104621
304	0.397991932
305	0.39779099
306	0.397709473
307	0.3974869692
308	0.3972482936
309	0.3968556077
310	0.3962851488
311	0.3960561513
312	0.3957198469
313	0.3954799583
314	0.3952127899
315	0.3951338948
316	0.3948037243
317	0.39468757
318	0.394500397
319	0.3941648041
320	0.3939575771
321	0.3937542945
322	0.3934525694
323	0.3931581524
324	0.3928132582
325	0.3925705612
326	0.3922708277
327	0.3920236888
328	0.3915667478
329	0.3913365035
330	0.3911699946
331	0.3907461828
332	0.3904690821
333	0.3900394356
334	0.3898434286
335	0.3895867234
336	0.3890841761
337	0.3886909137
338	0.3884177529
339	0.3880165307
340	0.3874561617
341	0.3870257917
342	0.3866279589
343	0.3862419325
344	0.3860461449
345	0.385843667
346	0.3856983992
347	0.3854790407
348	0.3851314129
349	0.3847808267
350	0.3843837031
351	0.3838535395
352	0.3834720919
353	0.3832511215
354	0.3829823658
355	0.3827358143
356	0.3824976172
357	0.3822987218
358	0.3817697399
359	0.3815439896
360	0.3811204362
361	0.3807797719
362	0.3806846838
363	0.3804671933
364	0.3802818981
365	0.3799956873
366	0.3796801784
367	0.379205084
368	0.3789128695
369	0.3786289257
370	0.3784059125
371	0.3781061437
372	0.3779296728
373	0.3777071196
374	0.3774769002
375	0.3771493573
376	0.3769333199
377	0.376601874
378	0.3763606717
379	0.3760525771
380	0.3757902051
381	0.3756138117
382	0.3753201932
383	0.37498129
384	0.3747608745
385	0.3745113659
386	0.3742501755
387	0.3739306302
388	0.3737064295
389	0.3735286388
390	0.3732788403
391	0.3731002915
392	0.3726833137
393	0.3723953837
394	0.3720760138
395	0.3718964627
396	0.3715175276
397	0.3712569544
398	0.3709154105
399	0.3706626596
400	0.3703671199
401	0.3701557397
402	0.3696623416
403	0.3693936675
404	0.3691842267
405	0.3689872546
406	0.3685710943
407	0.3684114779
408	0.3682086804
409	0.3680001154
410	0.3678207375
411	0.3676642397
412	0.3674680244
413	0.3672736615
414	0.3669913056
415	0.366892081
416	0.3666229765
417	0.3664122367
418	0.3660837431
419	0.3658067905
420	0.365711716
421	0.3655305871
422	0.3652402382
423	0.3649162577
424	0.3644983933
425	0.3642721821
426	0.3640107322
427	0.3638151788
428	0.3637300027
429	0.3635793801
430	0.3634303072
431	0.3630855961
432	0.3628906979
433	0.3627345174
434	0.3624448627
435	0.3622655291
436	0.3619936494
437	0.3617433391
438	0.3615098867
439	0.361261666
440	0.3610389031
441	0.3607680592
442	0.3605687368
443	0.3602670377
444	0.3600860781
445	0.3599970729
446	0.3599558466
447	0.3597425908
448	0.3596079723
449	0.359451386
450	0.3592195749
451	0.3590063982
452	0.3587326326
453	0.3584257945
454	0.3583825598
455	0.3580719889
456	0.3578768587
457	0.3576723704
458	0.3574395669
459	0.3572049258
460	0.3570671841
461	0.3568348845
462	0.3565869381
463	0.356384603
464	0.3562220347
465	0.356152195
466	0.3556822987
467	0.3552150084
468	0.3549848867
469	0.3547977983
470	0.3546499498
471	0.3545072347
472	0.3544323792
473	0.3539701878
474	0.3536671596
475	0.3534614253
476	0.3532418592
477	0.3530504757
478	0.3527495872
479	0.3525272098
480	0.3523032056
481	0.3520405463
482	0.3517846583
483	0.3517249635
484	0.3513551303
485	0.351178768
486	0.3509768742
487	0.3507943831
488	0.3505558337
489	0.3503024041
490	0.3500251163
491	0.3498563435
492	0.3494243285
493	0.3490181479
494	0.3487042579
495	0.348545039
496	0.3483091266
497	0.3481326643
498	0.3478088784
499	0.34752996
500	0.3475012417
501	0.3471641531
502	0.3467511788
503	0.3465458559
504	0.3463281123
505	0.3460603241
506	0.345881553
507	0.3457743055
508	0.3455206278
509	0.3451792728
510	0.3449961963
511	0.3448227661
512	0.3447342637
513	0.3445659961
514	0.3443815641
515	0.3441014818
516	0.3437459555
517	0.3435160993
518	0.3433139622
519	0.3431409362
520	0.3428249731
521	0.3425598263
522	0.3423711512
523	0.3421640102
524	0.3420244738
525	0.3417644963
526	0.3414874644
527	0.3413986005
528	0.3412135474
529	0.3410101665
530	0.3408105343
531	0.3406463367
532	0.3403528598
533	0.3400216931
534	0.3396849758
535	0.3394917373
536	0.3394067052
537	0.3392739919
538	0.3389402132
539	0.3387421623
540	0.338463398
541	0.338332229
542	0.3380310754
543	0.3380100559
544	0.337797037
545	0.3376760096
546	0.3373172577
547	0.3371902589
548	0.3370105555
549	0.3369707662
550	0.3367178365
551	0.3365102936
552	0.3362054027
553	0.33597646
554	0.3356082856
555	0.3353526202
556	0.334947059
557	0.3348238399
558	0.3346962368
559	0.3345297855
560	0.3343503654
561	0.3341437928
562	0.3340118228
563	0.3338356048
564	0.3335566277
565	0.3332612902
566	0.3331758303
567	0.332943882
568	0.3327359632
569	0.33253619
570	0.332381108
571	0.3322332625
572	0.3321400508
573	0.3321067565
574	0.331952286
575	0.3318749905
576	0.3316746811
577	0.3315169379
578	0.3314431106
579	0.3313652229
580	0.331309653
581	0.3310360855
582	0.3308508239
583	0.3307107656
584	0.330624431
585	0.3303818732
586	0.3301795856
587	0.3300558902
588	0.3297749654
589	0.3295588849
590	0.3293150103
591	0.3292207165
592	0.3289975306
593	0.3286583155
594	0.3284879357
595	0.3283461249
596	0.3280601295
597	0.3279403985
598	0.3278484238
599	0.3277537456
600	0.3276265348
601	0.3274027177
602	0.3271660349
603	0.3270107589
604	0.3268598661
605	0.3265489237
606	0.3264211589
607	0.3263567292
608	0.326277622
609	0.3259235583
610	0.3257152841
611	0.3254185703
612	0.3251526117
613	0.324933106
614	0.3248047889
615	0.3247271864
616	0.3246389288
617	0.3243742612
618	0.324215833
619	0.3241158353
620	0.3238917189
621	0.3237978707
622	0.3235310285
623	0.3233288595
624	0.3229689935
625	0.322730584
626	0.3226155581
627	0.3223864779
628	0.3221936618
629	0.3221661607
630	0.3219454658
631	0.3218509549
632	0.3216582234
633	0.3214383579
634	0.3212376546
635	0.3210087258
636	0.3207351234
637	0.3204424023
638	0.3202545236
639	0.3201032725
640	0.3198907674
641	0.3196977271
642	0.3195490576
643	0.3193127011
644	0.3192965064
645	0.3190750767
646	0.3187448326
647	0.3185110802
648	0.3183369211
649	0.3182031563
650	0.3180185942
651	0.3177679649
652	0.3175962008
653	0.3175268848
654	0.3173853033
655	0.3171410724
656	0.3168978278
657	0.3166605569
658	0.3163637005
659	0.3161789517
660	0.3160348136
661	0.3157663163
662	0.3156722916
663	0.3156160653
664	0.3155280157
665	0.315440517
666	0.3152388833
667	0.31500361
668	0.3148297724
669	0.3147227973
670	0.3145497019
671	0.3143396923
672	0.3140008331
673	0.3137269259
674	0.31346006
675	0.3132169445
676	0.3130214043
677	0.3127377262
678	0.3125015329
679	0.312298396
680	0.3119786946
681	0.3119535361
682	0.311845771
683	0.3118176909
684	0.311679856
685	0.3114585802
686	0.3111848335
687	0.3108381295
688	0.3106079243
689	0.3105162758
690	0.3100911629
691	0.3098555154
692	0.30961814
693	0.3094904311
694	0.3091573156
695	0.3088947454
696	0.3087079801
697	0.3085961132
698	0.3084635432
699	0.3084109016
700	0.3081860665
701	0.3079949619
702	0.3077078794
703	0.3075314962
704	0.3074124349
705	0.307194513
706	0.3070063453
707	0.3068880793
708	0.3066990282
709	0.3065246201
710	0.3063350311
711	0.3062228335
712	0.3061990917
713	0.305893889
714	0.305610166
715	0.3054404272
716	0.3051583749
717	0.3050715445
718	0.3049407678
719	0.3047698993
720	0.3045244959
721	0.3043434662
722	0.304078576
723	0.3038342173
724	0.3037580105
725	0.303566997
726	0.3033770893
727	0.3030275326
728	0.30267073
729	0.3025616541
730	0.3023859319
731	0.3022203137
732	0.3020209329
733	0.3018605499
734	0.3017651142
735	0.301484799
736	0.3013656031
737	0.3011971625
738	0.3010345757
739	0.3009347631
740	0.3009157684
741	0.3007619643
742	0.3005968448
743	0.300388566
744	0.3002660318
745	0.3001207329
746	0.2997563726
747	0.2995027681
748	0.2993946094
749	0.2993121073
750	0.2991137705
751	0.2989607531
752	0.2988118432
753	0.2985502042
754	0.2984629325
755	0.2982234748
756	0.2981073356
757	0.2979345782
758	0.2976728175
759	0.2975732337
760	0.2973421809
761	0.2971986206
762	0.2970409386
763	0.2968611897
764	0.2965178966
765	0.2964263279
766	0.296245831
767	0.2961343079
768	0.2960550661
769	0.2959314345
770	0.2957622516
771	0.2956503984
772	0.2955333157
773	0.2953305455
774	0.2951621601
775	0.2950162573
776	0.2946929788
777	0.2945610204
778	0.2943337532
779	0.2941919994
780	0.2941626056
781	0.2940203163
782	0.2938717603
783	0.293573306
784	0.2933255722
785	0.2930412234
786	0.292716213
787	0.292464249
788	0.2923428714
789	0.2922362542
790	0.2921102175
